Data	Otwarcie	Najwyzszy	Najnizszy	Srednia	Zamkniecie	Wolumen	Srednia_por
2017-11-03	64.65	65.0	63.05	64.025	63.25	1379	64.025
2017-11-06	63.25	64.34	61.7	63.02	62.16	25030	63.02
2017-11-07	62.0	63.39	62.0	62.695	62.0	35450	62.695
2017-11-08	62.0	62.0	61.15	61.575	61.89	1739	61.575
2017-11-09	61.15	62.39	60.0	61.195	60.42	2518	61.195
2017-11-10	60.0	61.79	58.06	59.925	61.5	6511	59.925
2017-11-13	61.5	61.8	60.75	61.275	61.4	1373	61.275
2017-11-14	61.4	61.4	59.99	60.695	61.35	1693	60.695
2017-11-15	60.45	61.3	59.42	60.36	61.3	6423	60.36
2017-11-16	61.4	61.4	60.42	60.91	60.89	1439	60.91
2017-11-17	60.02	61.24	59.82	60.53	60.79	2915	60.53
2017-11-20	61.0	61.9	59.98	60.94	59.98	3796	60.94
2017-11-21	60.01	61.88	59.82	60.85	60.0	6472	60.85
2017-11-22	60.03	60.97	60.0	60.485	60.2	3749	60.485
2017-11-23	60.65	62.4	60.33	61.364999999999995	60.45	179620	61.364999999999995
2017-11-24	61.0	61.0	60.45	60.725	60.5	3873	60.725
2017-11-27	61.19	61.19	60.5	60.845	60.98	26756	60.845
2017-11-28	60.61	61.76	60.61	61.185	61.43	2249	61.185
2017-11-29	61.5	61.5	59.52	60.510000000000005	60.19	37810	60.510000000000005
2017-11-30	60.35	60.35	58.15	59.25	59.6	13752	59.25
2017-12-01	60.35	60.35	58.25	59.3	58.25	5834	59.3
2017-12-04	58.25	59.85	58.25	59.05	59.55	980	59.05
2017-12-05	59.55	60.2	58.55	59.375	58.6	1490	59.375
2017-12-06	57.99	57.99	52.25	55.120000000000005	53.5	76928	55.120000000000005
2017-12-07	53.1	56.89	53.0	54.945	54.05	38356	54.945
2017-12-08	54.05	55.6	53.5	54.55	55.0	8167	54.55
2017-12-11	55.0	55.5	54.61	55.055	55.25	3608	55.055
2017-12-12	54.76	55.58	53.15	54.364999999999995	54.95	11539	54.364999999999995
2017-12-13	53.81	55.48	53.6	54.54	54.1	1095	54.54
2017-12-14	53.25	54.1	52.48	53.29	52.48	5176	53.29
2017-12-15	52.48	52.48	51.42	51.95	51.7	42294	51.95
2017-12-18	51.45	51.5	48.6	50.05	50.0	12068	50.05
2017-12-19	49.48	50.8	49.48	50.14	50.0	2418	50.14
2017-12-20	50.2	50.2	48.41	49.305	48.41	1664	49.305
2017-12-21	47.89	48.2	46.8	47.5	46.8	36611	47.5
2017-12-22	46.8	46.8	46.12	46.459999999999994	46.4	7655	46.459999999999994
2017-12-27	47.2	47.2	46.11	46.655	46.5	4497	46.655
2017-12-28	47.47	48.39	46.64	47.515	47.77	2977	47.515
2017-12-29	47.86	50.0	47.86	48.93	50.0	5424	48.93
2018-01-03	52.9	52.9	48.5	50.7	50.1	8975	50.7
2018-01-04	49.8	53.3	49.8	51.55	50.8	106313	51.55
2018-01-05	52.1	52.1	50.8	51.45	50.8	23478	51.45
2018-01-08	51.0	52.9	50.9	51.9	51.0	53748	51.9
2018-01-09	51.5	52.4	50.9	51.65	52.2	5036	51.65
2018-01-10	52.7	52.9	51.6	52.25	51.8	2998	52.25
2018-01-11	52.5	52.5	51.7	52.1	52.0	3369	52.1
2018-01-12	51.7	52.0	50.9	51.45	50.9	3025	51.45
2018-01-15	51.2	51.6	49.55	50.575	49.65	8153	50.575
2018-01-16	49.6	49.8	47.2	48.5	48.75	6313	48.5
2018-01-17	48.75	50.0	48.75	49.375	50.0	5080	49.375
2018-01-18	49.95	52.7	49.95	51.325	50.7	26490	51.325
2018-01-19	51.0	51.6	50.7	51.150000000000006	50.7	1372	51.150000000000006
2018-01-22	51.0	51.5	50.9	51.2	50.9	9870	51.2
2018-01-23	51.0	51.6	49.7	50.650000000000006	49.85	4024	50.650000000000006
2018-01-24	49.8	50.0	48.85	49.425	50.0	5133	49.425
2018-01-25	49.4	50.9	48.9	49.9	48.9	5711	49.9
2018-01-26	50.0	50.0	47.9	48.95	49.1	5764	48.95
2018-01-29	49.15	50.0	48.65	49.325	49.5	18678	49.325
2018-01-30	49.5	49.95	48.5	49.225	48.5	2255	49.225
2018-01-31	48.55	49.6	48.55	49.075	48.75	2876	49.075
2018-02-01	47.0	47.0	42.5	44.75	43.0	342725	44.75
2018-02-02	43.0	43.5	41.0	42.25	42.0	59908	42.25
2018-02-05	41.5	42.75	40.5	41.625	42.5	15525	41.625
2018-02-06	41.0	41.8	40.4	41.099999999999994	41.0	160643	41.099999999999994
2018-02-07	41.8	42.5	41.25	41.875	41.7	35158	41.875
2018-02-08	42.0	47.6	41.65	44.625	47.2	163206	44.625
2018-02-09	47.3	50.9	45.2	48.05	50.0	40698	48.05
2018-02-12	49.95	50.8	48.05	49.425	50.1	20516	49.425
2018-02-13	50.4	52.7	50.1	51.400000000000006	52.1	13007	51.400000000000006
2018-02-14	51.6	52.8	51.5	52.15	52.8	12074	52.15
2018-02-15	52.9	55.0	52.9	53.95	54.6	7998	53.95
2018-02-16	54.8	54.8	53.0	53.9	53.7	11639	53.9
2018-02-19	53.6	55.0	53.0	54.0	54.2	8014	54.0
2018-02-20	54.4	54.5	52.7	53.6	53.9	13151	53.6
2018-02-21	52.0	53.3	52.0	52.65	53.0	7144	52.65
2018-02-22	52.2	54.0	52.0	53.0	54.0	8212	53.0
2018-02-23	54.5	54.5	52.3	53.4	54.4	24277	53.4
2018-02-26	53.4	55.0	53.0	54.0	55.0	7848	54.0
2018-02-27	55.0	55.5	54.0	54.75	55.5	8995	54.75
2018-02-28	55.0	56.0	54.5	55.25	55.5	13355	55.25
2018-03-01	54.1	55.0	54.0	54.5	54.7	3760	54.5
2018-03-02	54.0	55.0	53.3	54.15	55.0	1367	54.15
2018-03-05	53.7	54.4	53.6	54.0	53.6	1080	54.0
2018-03-06	53.6	56.5	53.6	55.05	55.6	5687	55.05
2018-03-07	56.2	57.0	55.2	56.1	56.1	338940	56.1
2018-03-08	56.5	57.0	55.6	56.3	56.3	156345	56.3
2018-03-09	55.7	57.0	55.7	56.35	57.0	3884	56.35
2018-03-12	56.7	57.0	56.0	56.5	56.8	2636	56.5
2018-03-13	56.7	57.0	55.6	56.3	55.6	263803	56.3
2018-03-14	55.3	55.3	53.4	54.349999999999994	53.5	2162	54.349999999999994
2018-03-15	53.3	53.3	50.9	52.099999999999994	53.0	7428	52.099999999999994
2018-03-16	53.2	55.5	53.0	54.25	54.5	3423	54.25
2018-03-19	55.5	55.5	53.2	54.35	53.2	1735	54.35
2018-03-20	53.5	54.8	53.0	53.9	54.8	1144	53.9
2018-03-21	54.8	55.3	54.6	54.95	55.3	52786	54.95
2018-03-22	55.0	57.7	54.6	56.150000000000006	54.6	16161	56.150000000000006
2018-03-23	53.9	54.2	53.6	53.900000000000006	54.0	1502	53.900000000000006
2018-03-26	54.1	54.3	54.0	54.15	54.0	4831	54.15
2018-03-27	54.3	54.3	51.3	52.8	54.3	12876	52.8
2018-03-28	53.0	54.0	52.1	53.05	54.0	2291	53.05
2018-03-29	53.9	53.9	52.5	53.2	53.5	1618	53.2
2018-04-03	53.0	53.0	51.0	52.0	52.4	8245	52.0
2018-04-04	52.8	53.5	52.4	52.95	53.5	2432	52.95
2018-04-05	53.3	53.9	51.4	52.65	53.0	5520	52.65
2018-04-06	53.0	57.0	52.9	54.95	57.0	20029	54.95
2018-04-09	57.0	57.1	55.2	56.150000000000006	55.2	45534	56.150000000000006
2018-04-10	55.1	55.5	54.3	54.9	55.0	105270	54.9
2018-04-11	55.0	55.0	54.0	54.5	54.0	106571	54.5
2018-04-12	53.4	53.9	53.0	53.45	53.0	6179	53.45
2018-04-13	53.1	53.9	52.7	53.3	53.6	2260	53.3
2018-04-16	53.7	54.9	53.2	54.05	53.2	12615	54.05
2018-04-17	53.7	53.7	53.0	53.35	53.0	437	53.35
2018-04-18	54.9	54.9	52.7	53.8	52.9	969	53.8
2018-04-19	52.7	53.3	51.5	52.4	51.6	51704	52.4
2018-04-20	51.6	51.6	50.1	50.85	50.5	35471	50.85
2018-04-23	50.4	50.5	50.1	50.3	50.5	8144	50.3
2018-04-24	51.0	51.0	50.0	50.5	50.0	12780	50.5
2018-04-25	50.0	51.0	50.0	50.5	51.0	918	50.5
2018-04-26	51.0	52.2	50.0	51.1	50.7	138973	51.1
2018-04-27	52.7	52.7	50.6	51.650000000000006	50.6	2815	51.650000000000006
2018-04-30	50.6	50.6	50.2	50.400000000000006	50.2	575	50.400000000000006
2018-05-02	49.9	50.3	48.65	49.474999999999994	50.2	2802	49.474999999999994
2018-05-04	50.5	50.8	50.0	50.4	50.1	5270	50.4
2018-05-07	50.0	50.7	49.0	49.85	49.5	52803	49.85
2018-05-08	49.5	50.9	48.6	49.75	50.2	1298	49.75
2018-05-09	48.2	50.0	48.2	49.1	49.5	31228	49.1
2018-05-10	48.3	50.1	48.3	49.2	50.0	91332	49.2
2018-05-11	48.6	51.8	48.6	50.2	51.7	4145	50.2
2018-05-14	51.7	53.3	51.6	52.45	53.0	139864	52.45
2018-05-15	52.7	52.7	49.8	51.25	49.8	3097	51.25
2018-05-16	49.8	52.3	49.8	51.05	50.1	15986	51.05
2018-05-17	50.2	51.0	49.8	50.4	51.0	601	50.4
2018-05-18	51.7	51.9	50.0	50.95	50.4	201320	50.95
2018-05-21	51.9	52.2	49.55	50.875	51.7	202501	50.875
2018-05-22	51.6	51.6	49.5	50.55	49.5	1153	50.55
2018-05-23	50.5	51.5	50.0	50.75	50.5	5380	50.75
2018-05-24	50.8	50.8	50.0	50.4	50.0	2677	50.4
2018-05-25	50.0	54.8	50.0	52.4	54.0	56145	52.4
2018-05-28	54.0	54.0	52.0	53.0	52.3	5896	53.0
2018-05-29	52.0	52.4	52.0	52.2	52.2	30563	52.2
2018-05-30	52.2	52.5	51.2	51.85	51.2	6243	51.85
2018-06-01	51.2	51.2	50.0	50.6	50.6	618	50.6
2018-06-04	50.3	50.6	50.3	50.45	50.3	354	50.45
2018-06-05	50.6	50.6	50.0	50.3	50.0	28195	50.3
2018-06-06	50.5	50.5	49.5	50.0	49.5	7391	50.0
2018-06-07	50.0	51.5	49.75	50.625	51.0	128501	50.625
2018-06-08	51.0	51.0	50.1	50.55	50.9	966	50.55
2018-06-11	49.9	49.9	48.5	49.2	49.7	2552	49.2
2018-06-12	49.95	49.95	49.1	49.525000000000006	49.95	552	49.525000000000006
2018-06-13	49.7	49.95	49.3	49.625	49.3	709	49.625
2018-06-14	49.05	49.2	48.7	48.95	49.0	5418	48.95
2018-06-15	49.6	49.6	49.0	49.3	49.0	2865	49.3
2018-06-18	48.65	49.0	48.65	48.825	48.8	959	48.825
2018-06-19	48.65	48.65	47.05	47.849999999999994	47.05	31058	47.849999999999994
2018-06-20	47.0	48.8	47.0	47.9	48.0	10322	47.9
2018-06-21	49.0	49.0	47.35	48.175	47.35	30761	48.175
2018-06-22	48.3	48.3	47.1	47.7	47.45	1819	47.7
2018-06-25	45.25	48.0	45.1	46.55	48.0	11484	46.55
2018-06-26	48.0	48.0	46.5	47.25	46.5	30622	47.25
2018-06-27	47.0	47.95	45.5	46.725	47.0	17072	46.725
2018-06-28	47.0	47.5	45.6	46.55	47.5	8955	46.55
2018-06-29	47.5	47.75	46.1	46.925	47.35	11352	46.925
2018-07-02	47.0	47.0	44.6	45.8	46.0	2873	45.8
2018-07-03	45.95	45.95	45.0	45.475	45.2	10842	45.475
2018-07-04	45.2	45.2	43.1	44.150000000000006	44.0	61509	44.150000000000006
2018-07-05	44.0	44.5	43.75	44.125	44.3	1748	44.125
2018-07-06	45.0	45.0	44.5	44.75	44.6	31348	44.75
2018-07-09	45.0	45.2	44.05	44.625	45.0	102318	44.625
2018-07-10	45.0	45.0	44.5	44.75	44.55	798	44.75
2018-07-11	44.45	44.55	42.6	43.575	42.6	53756	43.575
